docnum,content
531,"@kittenplease @elfcosmetics @LOrealParisUSA I highlight with rich chestnut, use rich chocolate for my skin tone, and I contour with rich ebony. The pics on the website are quite dark though. Just a smidge. They came out with the flawless concealer around the same time they launched the 16 hr camo one."
532,"Special offerðŸ˜Save money. Hurry up !Visit link below & order froom there now.
amazon.com/shop/simplybeaâ€¦

#beauty #BeautyBloggers #Skin #skincare #skincareroutine @theclique_uk @bloglove2018 @Influencer_RT @LOrealParisUSA @LOrealParisUK @LOrealParisAU @lorealparisfr #RT #buynow ðŸ’• pic.twitter.com/VgYtHpz6eE"
533,@garnierUSA @GarnierUK @CP_News @GeneralMills @Hersheys @KelloggsUS @KraftHeinzCo @Loreal @LOrealParisUSA @NissinUSA STOP USING PALM OIL!!! BOYCOTT PRODUCTS WITH PALM OIL @goodhousemag @GMA @EllenD_world @oprahmagazine @TeenVogue youtu.be/G32YehcdUAw
534,@TheLisaVarga @LOrealUSA @LOrealParisUSA Yes itâ€™s perfect.    Just like your face. ðŸ˜ðŸ˜ðŸ˜.   Looks great.
535,@LOrealParisUSA Can I use your pure clay gel wash as a mask ?
536,The @LOrealParisUSA shake and glow dew mist is such a good dupe for the expensive glowy setting sprays ðŸ‘€ Donâ€™t sleep on it ðŸ’¤ pic.twitter.com/AfIepsFhR9
983,"RT @MySweetSavings: Get your skin ready for winter with these Pure-Sugar Scrubs from @LOrealParisUSA now on Rollback at @Walmart + enter for your chance to WIN a $250 gift card & Lâ€™Oreal Skin Care products! 
Details HERE =>> bit.ly/2ELveZv
#ad #WalmartBeauty #LorealParis #SugarScrubIt #IC pic.twitter.com/xk9iToDZWP"
1035,"Are your pores still holding onto past dirt? Tell them it's time to clear out, with @LOrealParisUSA Pure-Sugar Scrub Purify & Unclog! Now on Rollback at @Walmart! bit.ly/2pIdq7j #WalmartBeauty #LorealParis #SugarScrubIt #Contest"
539,@mrspollett @elfcosmetics @LOrealParisUSA I currently use the ELF one and itâ€™s BOMB!
355,@MKKM___ @NaezrahMax @char__barker @ABHcosmetics @norvina1 @NyxCosmetics @KillerQueensCo1 @ultabeauty @LOrealParisUSA @fentybeauty @Sephora @beautybakerie @hudabeauty this is bomb
541,@jambeauty89 Wanted to recommend a powder.  The @LOrealParisUSA Hydra Perfecte loose powder. I really like it.
292,RT @LOrealParisUSA: Beautiful tanned skin featuring our new Sublime Bronze Water Mousse on the gorgeous Kathleen Barnes pic.twitter.com/nu1udeA3gc
305,@artsymick @ABHcosmetics @beautybay @LOrealParisUSA @MorpheBrushes Oh yes miss glow
781,@remmistry @ABHcosmetics @LOrealParisUSA @milanicosmetics thank u bb ðŸ’›
850,@LaRochePosayUSA @LOrealParisUSA unveils first #wearable #sensor + #app that measures skin's pH levels. Ideal #pH is 5.5 for the proper functioning of skin #cells and healthy #skin #barrier #beautytech #skintech bit.ly/2QuUgfO
546,Heard good things about this spray and Iâ€™ve loved the rest of the Lumi line so definitely excited to try this! @LOrealParisUSA pic.twitter.com/n6vqeRAD26
547,"RT @SuperSafeway: Score NEW @LOrealParisUSA Pure-Clay Cleanser for $1.99 at @Safeway after the coupon & sale. You'll save 72%!

Details here --> bit.ly/2IXMXxh
#SafewayDeals #coupons #beauty #skincare #showerthoughts pic.twitter.com/GG9kuWjYXA"
548,"Score NEW @LOrealParisUSA Pure-Clay Cleanser for $1.99 at @Safeway after the coupon & sale. You'll save 72%!

Details here --> bit.ly/2IXMXxh
#SafewayDeals #coupons #beauty #skincare #showerthoughts pic.twitter.com/GG9kuWjYXA"
549,@LOrealParisUSA totally obsessed with these face masks. #pureclay #lorealParis #facemask #beautifulskin ðŸ¥° pic.twitter.com/DmNgYHq62f
550,A more neutral look with my @LOrealParisUSA Chocolate liquid lip to pop! And the amazing Make Up Revolution highlight that helped me to glow! pic.twitter.com/qqIYdA37kw
899,@bryyannna_ @Harry_Styles @HSHQ @MorpheBrushes @ABHcosmetics @ColourPopCo @NyxCosmetics @wetnwildbeauty @fentybeauty @LOrealParisUSA thank you bb!!
654,@NeonMUA @LisLeary @LOrealParisUSA @tartecosmetics @Maybelline @PUMA @NikkieTutorials @fentybeauty @ColourPopCo Okay but that aqua- mint-teal color IS your color!!!!
553,"RT @TheDionFamily: ispot.tv/a/I3E8
@celinedion @lorealparis 
L'Oreal Excellence Creme TV Commercial, 'Respect' Featuring Celine Dion #celinedion #celinedionloreal #respect"
554,"ispot.tv/a/I3E8
@celinedion @lorealparis 
L'Oreal Excellence Creme TV Commercial, 'Respect' Featuring Celine Dion #celinedion #celinedionloreal #respect"
358,@prietabellaco @bhcosmetics @ArdellBeauty @milanicosmetics @LOrealParisUSA I use bomb products ðŸ˜‰â˜ºï¸ðŸ¥°
556,"RT @Juliett71326822: @MyGrindelwald @ACLU @LOrealParisUSA @UN It was in some publication. I don't recall which one. And then someone reminded me on Twitter the other day. It might be false, but in case it's correct I'll be sending good vibes."
325,RT @LOrealParisUSA: Looking for some lash TLC? ðŸ™‹ The NEW Lash Serum Solution conditions & cares for your lashes. Get a denser thicker-looking lash fringe in 4 weeks! pic.twitter.com/g5eVrXHfhw
558,"@halimahy Seems like they always do. @PFCosmeticsAU @LOrealUSA @LOrealParisUSA does same thing, or they â€œimproveâ€ them. Ruin the product. Very disappointing. So I stop using their products. Improvement is good if it works, when it isnâ€™t hurts my skin."
559,"@MyGrindelwald @ACLU @LOrealParisUSA @UN It was in some publication. I don't recall which one. And then someone reminded me on Twitter the other day. It might be false, but in case it's correct I'll be sending good vibes."
67,@tailoreaves @KalonKosmetics @MorpheBrushes @BECCAcosmetics @AYELEANDCO @PFCosmetics @LOrealParisUSA @wetnwildbeauty The skin oh my lord so gorgeous!
561,@LOrealParisUSA bought a box of dark blonde 7 excellence creme. Box was not taped shut. Products fell out. Permanent color creme is marked 70R000. Is that the right color?
562,RT @Turtle1920: @Glamazon1026 @danayshiaavette @LOrealParisUSA @ABHcosmetics @fentybeauty @norvina1 @NimaeBeauty The pink glow just adds that extra umph to it ðŸ™ŒðŸ¾
563,@Glamazon1026 @danayshiaavette @LOrealParisUSA @ABHcosmetics @fentybeauty @norvina1 @NimaeBeauty The pink glow just adds that extra umph to it ðŸ™ŒðŸ¾
564,"RT @wakandasays: @Glamazon1026 @LOrealParisUSA @ABHcosmetics @fentybeauty @norvina1 @NimaeBeauty Love both, but I looooove the otherworldly glow in pic 2!"
565,"@Glamazon1026 @LOrealParisUSA @ABHcosmetics @fentybeauty @norvina1 @NimaeBeauty Love both, but I looooove the otherworldly glow in pic 2!"
566,"RT @LOrealParisUSA: Prime and awaken skin with a boost of healthy hydration ðŸ’§LUMI Shake & Glow Dew Mist primes, sets and refreshes in just one spritz! pic.twitter.com/sLN1eDO3rd"
567,"@zoeyy227 @LOrealParisUSA My fave is Natasha denona face glow! Itâ€™s light coverage but just so beautiful on the skin, more of a Lâ€™OrÃ©al pro glow vibe!"
894,"Sharing my favorite ant-aging cream on the blog with @LOrealParisUSA and @Walmart on the blog <3 Check out my 14-day challenge results ! 
#RevitaliftChallenge #LorealParis #WalmartBeauty #IC #Ad  goic.io/HlW10o pic.twitter.com/VLeZWX6FdQ"
919,Before and after my 14-Day #RevitaliftChallenge from @LOrealParisUSA ðŸ’– See the photos below to see my skin before and after using Lâ€™Oreal Paris Revitalift! At @Walmart goic.io/GUCwfY #LorealParis #WalmartBeauty #IC #ad pic.twitter.com/Mu0as73TXQ
427,You really can't afford not to buy a Reloquence White Label Toolkit for your curated influencer listings reloquence.io/blog/2019/5/24â€¦ cc:  @LOrealParisUSA @LOrealUSA @Loreal @LOrealParisUK @lorealprouk @LOrealParisIn pic.twitter.com/2aSrHbvnGm
140,"RT @LOrealParisUSA: LASHES PLEASE ðŸ™‹ðŸ™‹ðŸ™‹ Get denser, thicker-looking lashes in just 4 weeks with Lash Serum Solution. pic.twitter.com/Mfx1eH61QQ"
572,@LOrealParisUSA Uhhhh this has coconut oil and alcohol denat in it  ): I was so gonna buy it...
457,@mg_violette @cre6RS7C6X6q8ct @mrsluv78 @LOrealParisUSA @realamberheard Water mark from the Blast doesn't help
324,"In attempting to get ready for a friends wedding, I bought @LOrealParisUSA tanning wipes.After one attempt, this tanning newbies legs are two shades: nuclear white around the knees and no so white everywhere else. I have touching up to do. @GlamandGore I feel your tanning pain."
575,@LOrealParisUSA what is the best face cleanser for dry and irritated skin?
630,@jessicabxts @bhcosmetics @LOrealParisUSA @MorpheBrushes THANKS DOLL FACE!
577,@Influenster @lorealparis This product IS THE best. I can finally give my babies eye lash kisses
578,I received this @Lorealparis root touch up spray #Complimentary from @Influenster for my honest review. I would recommend this product. I have used some root touch ups in the past but this one was much easier to use. pic.twitter.com/ASkVCYTYZF
877,So - A friend recommended L'Oreal Eye Defense. BROKEN GLASS in the cream! Emailed L'Oreal at multiple addresses - No response. Shocked at broken glass; horrified they aren't worried customers could be injured! How do you to get a response? @Loreal @LOrealUSA @LOrealParisUSA pic.twitter.com/5bwniiLbD6
431,Lips fam pt2 @JeffreeStar @KarlLagerfeld @MorpheBrushes @ColourPopCo @iluvsarahii @OFRACosmetics @NikkieTutorials @milanicosmetics @Essence @Maybelline @elfcosmetics @NyxCosmetics @wetnwildbeauty @thebalm @CatriceSA @LOrealParisUSA pic.twitter.com/KxX83g4iiM
782,@jocelynxsanchez @ABHcosmetics @LOrealParisUSA @milanicosmetics wow SKIN
702,@bridewitt94 You should try @LOrealParisUSA Lash Serum Solution! It helps with lash loss by making them thicker and denser!
333,"RT @LOrealParisUSA: BOOSTED LASHES, PLEASE ðŸ˜ Get a denser, thicker-looking lash fringe in just 4 weeks with the NEW Lash Serum Solution pic.twitter.com/eeqOvrb3pr"
584,"I got to test out the brand *NEW* @LorealParisUSA Lash Serum Solution for 4 weeks, and I know what you're thinking. Does it really work or no? See my results and review here ðŸ‘‰ðŸ½  ashantenicole.com/beauty/loreal-â€¦"
585,"This is not a #ad but I HIGHLY recommend the new @Neutrogena overnight hydration masks.
Along with anyyy @LOrealParisUSA revitalift products...(in addition to at least a gallon of water a day and REST) pic.twitter.com/DOtyhz7VUe"
586,@LOrealParisUSA hi L'oreal  thanks for all the amazing beauty products you make.  Just curious what you think of top 3 moisturizers in your skin brands? Especially combination skin. Oily yet dry skin.  Thanks!!
114,@Cassie_Munchkin @TooFaced @OFRACosmetics @ABHcosmetics @fentybeauty @LauraMercier @elfcosmetics @LOrealParisUSA Love this glow ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ’œðŸ˜©â˜ºï¸
588,"@LOrealParisUSA @LOrealUSA  My skin used to be so irrateded (red and itchy) before I started using your Cicacream Face Moisturizer! Itâ€™s great, thank you! @loreal"
1048,RT @ronnkelly3: AD @LOrealParisUSA Pure-Sugar Scrubs is my go-to product for lip exfoliating. Bring your lips back to life when you buy these at rollback pricing @Walmart. #WalmartBeauty #LorealParis #SugarScrubIt #IC bit.ly/2z4Trnt pic.twitter.com/7JLvKs4H3v
849,.@LOrealParisUSA @LOrealUSA unveils prototype of first-ever wearable microfluidic sensor to measure skin pH levels mediaroom.loreal.com/?us=IxZ28y #wearables #innovation #customized
591,"Products used:
@LOrealParisUSA Pro Glow - 202, Hydra Perfecte Powder
@elfcosmetics 16hr Camo Concealer - Light Peach & Tan Latte
@Maybelline Fit Me Loose Powder - 05
@NyxCosmetics Matte Setting Spray"
592,"RT @FemCondition: 25% of the homeless in #Hollywood are minors. Amber Heard encourages teens to run away by lying about how she started her career, starring in Aquaman,face of @Loreal and an #activist. She won a contest w/contract and agency at 17. Harmful fame @LOrealParisUSA @OneYoungWorld pic.twitter.com/6gpmcY593h"
593,@Ny0tic @LOrealParisUSA Real talk this video was everything !! Lol ðŸ˜‚ðŸ˜‚ Yes girl glow the f*ck out them highlights yessss !!  ðŸ˜ðŸ˜ðŸ’•ðŸ’• pic.twitter.com/OLL56WyN5m
254,Dark circles and under eye bags? We donâ€™t know her! #cantrelate @JeffreeStar @LOrealParisUSA @MACcosmetics @MorpheBrushes pic.twitter.com/DLt0ETSmND
595,@Ny0tic @LOrealParisUSA My dry skin hopes so too ðŸ˜‚
596,"25% of the homeless in #Hollywood are minors. Amber Heard encourages teens to run away by lying about how she started her career, starring in Aquaman,face of @Loreal and an #activist. She won a contest w/contract and agency at 17. Harmful fame @LOrealParisUSA @OneYoungWorld pic.twitter.com/6gpmcY593h"
857,"âœ¨New Blog Post! âœ¨
ðŸ™Thank you @Influenster for sending me the @LOrealParisUSA Sublime Bronze Self-Tanning Water Mousse to try out. Visit my blog to see how it worked out with Before/After ðŸ“¸

Read full review here ðŸ‘‰bit.ly/2R0N1AM 

#influenster #free #loreal #bblogger pic.twitter.com/ERFVi3CiNc"
598,"RT @LOrealParisUSA: Pocket-sized, hydrating beauty essentials for Spring ðŸ˜ Featuring LUMI Shake & Flow Dew Mist and Glow Amour Drops pic.twitter.com/PmWPTShlwY"
599,@Camila_Cabello @LOrealParisUSA did you drink water today?
600,@Camila_Cabello @LOrealParisUSA Can you like not bomb us with information???
601,@Loreal @LOrealParisUSA I got a jar of pure-sugar exfoliant I was excited it's my second jar and guess what its a bad batch grrrr its so watery so guess I'm looking for a new srucb #face #clean #skincare
602,Press day for #inanna @aftermovie #fauxbob secured with @buyfrenchies  smooth with singlepass flat iron @T3Micro set with @LOrealParisUSA #ellenett there you have it. Photo beau Nelson pic.twitter.com/FYHjg0AyBE
88,"RT @LOrealParisUSA: Are your lashes in need of some extra love? ðŸ™‹ Lash Serum Solution conditions and cares for your lashes. Get denser, thicker looking lash fringe in 4 weeks! pic.twitter.com/BYzTL8JdFA"
604,"@MarySma45411104 @Itcosmetics @LOrealParisUSA makes a less expensive version thats pretty much the same product (and I believe they released theirs first)

lorealparisusa.com/products/skin-â€¦ pic.twitter.com/iHSFX2tFm7"
605,@LOrealParisUSA @queenkim_nyakim @arshiamoorjani @mariaxalia @inkmyafricaaa So what color do the Models with Melanin for their deep skin tones do?? Is it readily available in ALL STORES THAT YOU SELL OUT OF?? OR Do you put #400 on Everybody?? Asking for POC in AmericaðŸ™„ ITS 2019!! WTH! pic.twitter.com/ON5NXwElQm
606,"@LOrealParisUSA @realamberheard Do you have a shade to cover the black eye an abuser inflicts?  Asking for a friend. 
#amberheardabusedjohnnydepp #spousebeater #beautywithall #domesticviolence #johnnydepp pic.twitter.com/vA7fZdCDx1"
673,"Face details 

@MorpheBrushes @ColourPopCo @juviasplace @CoverFX @LOrealParisUSA @fentybeauty @PrettyVulgar @tarte @purcosmetics @NyxCosmetics @Maybelline"
336,@jocelynxsanchez @tartecosmetics @LOrealParisUSA What kind of skin do U have ?
609,@bhillxMUA @ABHcosmetics @juviasplace @Certifeye @wetnwildbeauty @LOrealParisUSA The glow ðŸ’ž
610,"Hey @LOrealParisUSA can you please bring this back? I have yet to find a moisturizer that worked for my skin so perfectly. 
Iâ€™ve literally cried because I canâ€™t find this moisturizer anymore. pic.twitter.com/gvF6Dlc5WX"
611,@voguemagazine @celinedion @lorealparis She is a wonderful singer but not a face most women would want to emulate . She may be very healthy but unfortunately she is way to thin .
612,.@celinedion Announces She Is the New Face of @LOrealParisUSA pic.twitter.com/0H2cZfRzrz
613,"RT @Chibeau: @celinedion @lorealparis Really? You're going with a brand that willingly keeps supporting an abusive woman? Amber Heard should be banned and bannished but somehow she gets to stick around. Remember when Johnny Depp was banned after Abuser Heard spread lies about him?

She should get the same treatment"
614,Vogue Runway on Twitter â€œ.@CelineDion is the new face of @LOrealParisâ€“and more iconic than ever. vogue.cm/CWFVQ1Dâ€RT @VogueRunway: .@CelineDion is the new face of @LOrealParisâ€“and more iconic than ever. buff.ly/2CONVI4 buff.ly/2CRy7V5 pic.twitter.com/PecT6Z6F6Q
615,"@celinedion @lorealparis Really? You're going with a brand that willingly keeps supporting an abusive woman? Amber Heard should be banned and bannished but somehow she gets to stick around. Remember when Johnny Depp was banned after Abuser Heard spread lies about him?

She should get the same treatment"
616,RT @VogueRunway: .@CelineDion is the new face of @LOrealParisâ€“and more iconic than ever. vogue.cm/CWFVQ1D pic.twitter.com/DKGiR5xSRJ
617,.@CelineDion is the new face of @LOrealParisâ€“and more iconic than ever. vogue.cm/CWFVQ1D pic.twitter.com/DKGiR5xSRJ
618,@Fernandadg1_ @LOrealParisUSA im oily combination and it does wonders for me. i feel like all skin types will love it
619,@STFUSYD @LOrealParisUSA Is it good for oily skin? ):
620,SETTING SPRAYS FOR ALL SKIN TYPES|FINISHING SPRAYS|FIXING SPRAYS|REFRESH... youtu.be/rgJue1NOzD0 via @YTCreators #settingsprays @Maybelline @LOrealParisUSA @elfcosmetics @CATRICE_DE @wetnwildbeauty @NyxCosmetics @MorpheBrushes @Smashbox @MACcosmetics @UrbanDecay @PIXIBeauty pic.twitter.com/kL0qDMY2TS
800,Todayâ€™s face! Stay tuned 7.13.19  #BeautyByB #AnastasiaBeverlyHills #Hudson #KylieCosmetics #Glitz #EOS @ABHcosmetics @LOrealParisUSA @kyliecosmetics @eos pic.twitter.com/7FBNgen8Z3
107,@robynjena @elfcosmetics @LOrealParisUSA lash paradise is bomb too!
623,@xoalexisblog_ So I have 2 recs! The  @LOrealParisUSA infallible fresh wear is great and leaves a natural finish! Same with @COVERGIRL  outlast active! Both have SPF too â¤ï¸
624,One editor can't get enough of this @LOrealParisUSA lotion! popsugar.com/beauty/LOreal-â€¦
625,RT @JDsupportsystem: BOYCOTT @LOrealParisUSA BECAUSE THEIR NOT WORTH IT!! THIS IS THE FACE OF AN ABUSER NOT SOMEONE WHO SHOULD BE ENDORSED OR A SPOKESPERSON FOR ANY FUCKING THING AND SHE SHOULDNT BE ACTING EITHER SHE IS A FUCKIN DISGRACE pic.twitter.com/ZJGykQiNEv
626,RT @LOrealParisUSA: Thousands joined the wait list for Infallible Full Wear concealer. See what all the hype is aboutÂ & experience full-face wear for up to 24 hours ðŸ˜ pic.twitter.com/AzqbzM9kOG
627,My skin has completely broken out after using @LOrealParisUSA infallible Pro-Matte. Has anyone else experienced this?
628,Get that shag texture by flipping that iron to get that zigzag wave spray with @LOrealParisUSA ellnet summer 2019 pic.twitter.com/dEV1bQK5VK
629,@zoeamira1 @LOrealParisUSA Yes Lâ€™OrÃ©al snapped NECKS with this one! The concealer is bomb too!
85,"@SheisRaych @ABHcosmetics @carlibybel @COVERGIRL @BECCAcosmetics @fentybeauty @NyxCosmetics @Sephora @LOrealParisUSA @NARSCosmetics The colors are absolutely stunning and I stan Carli so much, but dark skin WOC have nothing to transition or deepen the outter V with ðŸ¤§ðŸ˜ª."
631,@AshleyHBowen @LOrealParisUSA I used to mix the matte and glow alllll the time! Itâ€™s such a good combo
632,@zoeamira1 @LOrealParisUSA Maybelline Fit Me Matte & Poreless or L'Oreal Infallible (I mix the matte and the glow)
633,@KathleenLights1 @LOrealParisUSA Pro Glow ðŸ™ŒðŸ»ðŸ™ŒðŸ»ðŸ™ŒðŸ»
634,@KathleenLights1 @LOrealParisUSA infallible & @Maybelline FitMe smooth & dewy! A must mofkn try!
635,@gtginoble @MarioBadescu @LOrealParisUSA Anytime bb! ðŸ˜ŒðŸ˜˜
304,@RachelandVicto1 @JohnChristianL @ABHcosmetics @AlyssaEdwards_1 @LOrealParisUSA @norvina1 Your skin is flawlesssss
637,"@gtginoble You got it! ðŸ˜˜
1. Gently exfoliate in the shower every morning 
2. MOISTURIZE THE SHIT OUTTA YOUR FACE! I start with @MarioBadescu facial spray (5 sprays all over), then 1-2 drops of either rose OR rosehip oil, and finally a lil dollop of @LOrealParisUSA collagen moisture filler! pic.twitter.com/MzfARdiKgs"
638,RT @LOrealParisUSA: Did You Know - Vitamin C  is a A Gold Standard Dermatologist Ingredient? Revitalift Derm Intensives Vitamin C Serum is Dermatologist validated and proven to restore youthful radiance and even your skin tone. pic.twitter.com/WRnk9EYBBt
639,@umbertoned @elfcosmetics @ColourPopCo @LOrealParisUSA @wetnwildbeauty @COVERGIRL @NyxCosmetics @CoastalScents Your SKIN ðŸ˜ðŸ˜ðŸ˜
640,RT @samluvgood: @umbertoned @elfcosmetics @ColourPopCo @LOrealParisUSA @wetnwildbeauty @COVERGIRL @NyxCosmetics @CoastalScents So beautiful!!! Your skinðŸ¤©ðŸ¤©ðŸ¤©
641,@umbertoned @elfcosmetics @ColourPopCo @LOrealParisUSA @wetnwildbeauty @COVERGIRL @NyxCosmetics @CoastalScents So beautiful!!! Your skinðŸ¤©ðŸ¤©ðŸ¤©
435,@DaphneMartinez_ @norvina1 @ABHcosmetics @wetnwildbeauty @MorpheBrushes @Maybelline @elfcosmetics @stilacosmetics @LOrealParisUSA THANK YOU BB ðŸ–¤
643,RT @kayydenisee_: @MedinaMUAYE is my internet MUA because he recommended the @LOrealParisUSA Infallible Pro-Glow and lawwwd have mercy. Got me looking snatched on Spring BreakðŸ’‹ pic.twitter.com/ctzw66MiRK
644,@MedinaMUAYE is my internet MUA because he recommended the @LOrealParisUSA Infallible Pro-Glow and lawwwd have mercy. Got me looking snatched on Spring BreakðŸ’‹ pic.twitter.com/ctzw66MiRK
645,"RT @korn4562: Think about it, JD was so generous to Amber & her friends, paying for their living, & even after getting punched in the face & leaving the house, he came back the next day to pick up Amber to take her to Coachella. @ACLU_Mass @ACLU @Loreal @LOrealParisUSA @DCComics @TheDCUniverse twitter.com/Lifeisabirdsonâ€¦"
36,RT @LOrealParisUSA: Starting to lose your Summer tan? Try America's #1 Self-Tanner brand! Our Sublime Mousse or Towelettes are made for EASY application and a STREAK-FREE gorgeous glow! bit.ly/SublimeMouseAmâ€¦ pic.twitter.com/c2gRiTjEkh
647,"RT @Thaoriginalgata: I LEGIT had the longest day ever & my face felt so UGH!
I just used my @LOrealParisUSA pre-sugar scrub, then used vodka as an astringent, followed by @LOrealUSA #revitalift & OMG, my face feel SO refreshed!!
Iâ€™m ready for you @4statecomiccon tomorrow!
#freshface #MOMOF10 #grandma pic.twitter.com/wbVv3zJoiL"
648,"RT @mrspollett: Think Iâ€™m going to film a video for this look. Also, I used a combo of @Itcosmetics cc cream and @LOrealParisUSA fresh wear and LOVED the way it looked. pic.twitter.com/emsbmzHabD"
649,"Think Iâ€™m going to film a video for this look. Also, I used a combo of @Itcosmetics cc cream and @LOrealParisUSA fresh wear and LOVED the way it looked. pic.twitter.com/emsbmzHabD"
650,"I LEGIT had the longest day ever & my face felt so UGH!
I just used my @LOrealParisUSA pre-sugar scrub, then used vodka as an astringent, followed by @LOrealUSA #revitalift & OMG, my face feel SO refreshed!!
Iâ€™m ready for you @4statecomiccon tomorrow!
#freshface #MOMOF10 #grandma pic.twitter.com/wbVv3zJoiL"
651,"hey @LOrealParisUSA you guys completely dropped the ball on labeling your bottles & tubes!! creme developer bottle is 1, & your colorante is def 2!! ðŸ¤¦ðŸ¼â€â™€ï¸ðŸ¤·ðŸ¼â€â™€ï¸ pic.twitter.com/taEAlDNBfk"
652,"RT @kaunokele31: the face of an abused man. and the face of the abuser, who is STILL employed by @aquamanmovie @wbpictures @LOrealParisUSA @LOrealUSA #hallmark did the right thing. #aquaman #mera  #AmberHeardAbusedJohnnyDepp #JohnnyDepp #ibelievehim pic.twitter.com/S44AuXlkXj"
653,@LOrealParisUSA it works for @GlamLifeGuru but idk if she has oily/combo skin?? thoughts?
853,@CourteneyCox @LOrealParisUSA is your face going to be on the packing of loreal bc i would seriously consider going brunette just because of that. hahaha love u
655,@realamberheard @LOrealParisUSA is this really the kind of person you want as the face for your company. You're actually? Fucking gross. Seriously.
656,"the face of an abused man. and the face of the abuser, who is STILL employed by @aquamanmovie @wbpictures @LOrealParisUSA @LOrealUSA #hallmark did the right thing. #aquaman #mera  #AmberHeardAbusedJohnnyDepp #JohnnyDepp #ibelievehim pic.twitter.com/S44AuXlkXj"
657,RT @AthleisureMag: Our latest issue includes #AthleisureBeauty which focuses on great ways to keep your skin radiant with @ecoinnisfree @MarineAndVine @LOrealParisUSA @LansinohUSA @ShiseidoUSA #beauty issuu.com/athleisuremag/â€¦
658,@loulaaax I have super dry skin and iâ€™ve been loving the @LOrealParisUSA infallible 24 fresh!
659,BOYCOTT @LOrealParisUSA BECAUSE THEIR NOT WORTH IT!! THIS IS THE FACE OF AN ABUSER NOT SOMEONE WHO SHOULD BE ENDORSED OR A SPOKESPERSON FOR ANY FUCKING THING AND SHE SHOULDNT BE ACTING EITHER SHE IS A FUCKIN DISGRACE pic.twitter.com/ZJGykQiNEv
660,"RT @LOrealParisUSA: Glow up with True Match â€” Featuring True Match LUMI Shake & Glow, LUMI Glotion & Blush pic.twitter.com/Wl1RvnB4oG"
661,@LOrealParisUSA Does it hydrate bruises like the one ur spokesperson left on ex husband? pic.twitter.com/hteRRNynhd
662,@LOrealParisUSA I put this on my burn I have on my face
663,RT @LOrealParisUSA: Our Derm Intensives 1.5% Pure Hyaluronic Acid serum offers immediate results that will leave skin intensely hydrated and soft to the touch. No wonder thereâ€™s 1 sold every minute! pic.twitter.com/CF4dWagIJG
989,"I ðŸ’ž this! From tracking exposure to harmful uva & uvb rays that can cause #Melanoma & skin #cancer to #pollution #pollen & #humidity - this #Wearable does it all! @ $60 it's agr8 value!  #Apple
#Wearables @LOrealParisUSA 
@LaRochePosayUSA
@LaRochePosayFR
gadgetsandwearables.com/2018/11/15/my-â€¦"
665,"@LOrealParisUSA Whoever is in charge of maintaining this Twitter page, please further the news on your global face Amber Heard to your lawyers. They might have missed it to your detriment: google.com/amp/s/www.dailâ€¦"
666,"@LOrealParisUSA infalliable pro glow - 202
@PFCosmetics butter bronzer - light
@OFRACosmetics x @NikkieTutorials everglow highlighter
@tartecosmetics blush - paaart blush"
667,@LOrealParisUSA Please bring back the Curl Taming Cream! That stuff was magical. Canâ€™t believe people are selling it on Amazon for $10-25 dollars a bottle.
668,@iHeartRadio @halsey @LOrealParisUSA 13 yr old who didn't grow up with camera's pointed at her face every minute
669,@pomta5426 @LOrealParisUSA @ACLU @UNHumanRights @ladbible Not the face and minic of a happy man... hurts to see and.think about what she did to him.
670,RT @AniaKingi: @umbertoned @glamtino @elfcosmetics @LOrealParisUSA @wetnwildbeauty @milanicosmetics @COVERGIRL @ColourPopCo Beautiful colour with your skin tone and that lip though ðŸ’•
671,@Arightside Thank you. It's an absolute INSULT to all women that Heard is not yet taken down as the global face of @LOrealParisUSA @NLatUN @ACLU and what not. She is nothing but a gang leader who wants a free pass for criminal behavior. She does not represent me.
672,@ThatBrianFella @Loreal @LOrealParisUSA I don't want a face of an evil person. Amber Heard is evil
120,@Camila_Cabello @LOrealParisUSA The caption oh my god IF YOU THINK ID DIE FOR YOU WELL YOURE ABSOLUTELY CORRECT
674,"@LOrealParisUSA Here is another article about your ""global face"" and her criminal behaviour. google.com/amp/s/www.dailâ€¦"
675,"@thornbird04 @JosephKahn True. Worse than that, not enough people are protesting Heard being the face of @LOrealParisUSA and an ambassador for victims of abuse @ACLU_Mass @ACLU @NLatUN @UNGeneva. They are not informed due to the silent media and are insulting women."
676,"Think about it, JD was so generous to Amber & her friends, paying for their living, & even after getting punched in the face & leaving the house, he came back the next day to pick up Amber to take her to Coachella. @ACLU_Mass @ACLU @Loreal @LOrealParisUSA @DCComics @TheDCUniverse"
677,"@courtgranata Ok, people are getting tight about this because it's sheer incredible that we as women are getting served a woman who has admitted UNDER OATH to serially abusing Depp violently as the face of @LOrealParisUSA  and ambassador of @NLatUN and @ACLU. ðŸ¤®"
678,RT @CeliaSillars: The face of @LOrealParisUSA .. Amber Heard .. a drunk violent racist .. Wow .. this company couldn't sink any lower .. could they!!  ..... YES .. they also test their products on animals!!  Do the right thing BOYCOTT L'oreal ....  BECAUSE YOU ARE WORTH SO MUCH MORE!!!! pic.twitter.com/3RDAPCqSGa
